上がる (あがる)
十日 (とおか)
本名 (ほんみょう)
中学生 (ちゅうがくせい)
お父さん (おとうさん)
今日 (きょう)
年下 (としした)
下げる (さげる)
本人 (ほんにん)
中学 (ちゅうがく)
入り口 (いりぐち)
小学生 (しょうがくせい)
大して (たいして)
川上 (かわかみ)
毎年 (まいとし)
日中 (ひなか)
下さる (くださる)
大人しい (おとなしい)
毎日 (まいにち)
二十日 (はつか)
四日 (よっか)
先日 (せんじつ)
休み (やすみ)
七日 (なのか)
お休みなさい (おやすみなさい)

火山 (かざん)
入る (はいる)
午前 (ごぜん)
日の入り (ひのいり)
五月 (ごがつ)
先月 (せんげつ)
名前 (なまえ)
二つ (ふたつ)
学ぶ (まなぶ)
国外 (こくがい)
毎月 (まいつき)
七つ (ななつ)
今週 (こんしゅう)
人生 (じんせい)
外国 (がいこく)
休日 (きゅうじつ)
男の子 (おとこのこ)
六つ (むっつ)
入学 (にゅうがく)
女らしい (おんならしい)
本国 (ほんごく)
八日 (ようか)
生きる (いきる)
四つ (よっつ)
女子 (じょし)

古い (ふるい)
九つ (ここのつ)
国名 (こくめい)
入れる (いれる)
日ざし (ひざし)
生き生き (いきいき)
五つ (いつつ)
年ごろ (としごろ)
大人 (おとな)
小母さん (おばさん)
大げさ (おおげさ)
父母 (ふぼ)
三日月 (みかづき)
生まれ (うまれ)
上る (のぼる)
大きい (おおきい)
休む (やすむ)
三つ (みっつ)
学生 (がくせい)
人ごみ (ひとごみ)
男子 (だんし)
下りる (おりる)
一日 (ついたち)
中年 (ちゅうねん)
先生 (せんせい)

毎週 (まいしゅう)
名人 (めいじん)
本の (ほんの)
八つ (やっつ)
一人 (ひとり)
外国人 (がいこくじん)
今日は (こんにちは)
下らない (くだらない)
何となく (なんとなく)
下書き (したがき)
お母さん (おかあさん)
今ごろ (いまごろ)
大学 (だいがく)
三日 (みっか)
入国 (にゅうこく)
一つ (ひとつ)
大学生 (だいがくせい)
年より (としより)
男らしい (おとこらしい)
今年 (ことし)
お前 (おまえ)
友だち (ともだち)
何の (どの)
子ども (こども)
九日 (ここのか)

書く (かく)
先週 (せんしゅう)
六日 (むいか)
何か (なにか)
学年 (がくねん)
五日 (いつか)
大水 (おおみず)
日本 (にほん)
小さい (ちいさい)
年上 (としうえ)
女の子 (おんなのこ)
一生 (いっしょう)
二日 (ふつか)
何千 (なんぜん)

少し (すこし)
空しい (むなしい)
出会う (であう)
新聞社 (しんぶんしゃ)
気をつける (きをつける)
前半 (ぜんはん)
言う (いう)
出かける (でかける)
車道 (しゃどう)
気になる (きになる)
間もなく (まもなく)
本気 (ほんき)
言語 (げんご)
気にいる (きにいる)
週間 (しゅうかん)
長さ (ながさ)
見学 (けんがく)
万一 (まんいち)
天国 (てんごく)
国立 (こくりつ)
足もと (あしもと)
足す (たす)
電車 (でんしゃ)
天気 (てんき)
金魚 (きんぎょ)

聞こえる (きこえる)
十分 (じゅうぶん)
外国語 (がいこくご)
花火 (はなび)
半日 (はんにち)
新聞 (しんぶん)
高い (たかい)
手のひら (てのひら)
行く (いく)
高校 (こうこう)
左手 (ひだりて)
下手 (へた)
来年 (らいねん)
分かる (わかる)
本店 (ほんてん)
午後 (ごご)
飲み水 (のみみず)
雨天 (うてん)
来月 (らいげつ)
大雨 (おおあめ)
外出 (がいしゅつ)
国語 (こくご)
校長 (こうちょう)
電気 (でんき)
少女 (しょうじょ)

一時 (いちじ)
食べる (たべる)
多い (おおい)
出す (だす)
少なくとも (すくなくとも)
花びら (はなびら)
半分 (はんぶん)
出る (でる)
話す (はなす)
高さ (たかさ)
右手 (みぎて)
手入れ (ていれ)
何時 (いつ)
人間 (にんげん)
半年 (はんとし)
聞く (きく)
空っぽ (からっぽ)
長女 (ちょうじょ)
小学校 (しょうがっこう)
水分 (すいぶん)
高める (たかめる)
半月 (はんつき)
会話 (かいわ)
空間 (くうかん)
来週 (らいしゅう)

後半 (こうはん)
空気 (くうき)
社会 (しゃかい)
白い (しろい)
多分 (たぶん)
空中 (くうちゅう)
長生き (ながいき)
出口 (でぐち)
手本 (てほん)
学校 (がっこう)
中立 (ちゅうりつ)
見上げる (みあげる)
目上 (めうえ)
お金 (おかね)
名高い (なだかい)
買う (かう)
上手 (じょうず)
円高 (えんだか - )
電話 (でんわ)
駅前 (えきまえ)
長男 (ちょうなん)
北上 (ほくじょう - )
中学校 (ちゅうがっこう)
会社 (かいしゃ)
少年 (しょうねん)

出国 (しゅっこく)
新しい (あたらしい)
時間 (じかん)
見本 (みほん)
半ば (なかば)
何時か (いつか)
会見 (かいけん)
高校生 (こうこうせい)
長い (ながい)
見つける (みつける)
足りる (たりる)
安い (やすい)
気分 (きぶん)
一言 (ひとこと)
言い出す (いいだす)
来る (くる)
目立つ (めだつ)
立つ (たつ)
学長 (がくちょう)
見せる (みせる)
南東 (なんとう - )
いつの間にか (いつのまにか)
気まぐれ (きまぐれ)
目下 (めした)
読む (よむ)

日の出 (ひので)
何時までも (いつまでも)
中間 (ちゅうかん)
飲む (のむ)
大会 (たいかい)
見える (みえる)
後ろ (うしろ)
分ける (わける)
会長 (かいちょう)
何百 (なんびゃく)
外来語 (がいらいご)
生け花 (いけばな)
花見 (はなみ)
語学 (ごがく)
小雨 (こさめ)
聞こえる (きこえる - )
新年 (しんねん)
